"function_name","return_type","arguments","schema"
"geometry_left","boolean","geom1 geometry, geom2 geometry","public"
"geometry_lt","boolean","geom1 geometry, geom2 geometry","public"
"geometry_neq","boolean","geom1 geometry, geom2 geometry","public"
"geometry_out","cstring","geometry","public"
"geometry_overabove","boolean","geom1 geometry, geom2 geometry","public"
"geometry_overbelow","boolean","geom1 geometry, geom2 geometry","public"
"geometry_overlaps","boolean","geom1 geometry, geom2 geometry","public"
"geometry_overlaps_3d","boolean","geom1 geometry, geom2 geometry","public"
"geometry_overlaps_nd","boolean","geometry, geometry","public"
"geometry_overleft","boolean","geom1 geometry, geom2 geometry","public"
"geometry_overright","boolean","geom1 geometry, geom2 geometry","public"
"geometry_recv","geometry","internal","public"
"geometry_right","boolean","geom1 geometry, geom2 geometry","public"
"geometry_same","boolean","geom1 geometry, geom2 geometry","public"
"geometry_same_3d","boolean","geom1 geometry, geom2 geometry","public"
"geometry_same_nd","boolean","geometry, geometry","public"
"geometry_send","bytea","geometry","public"
"geometry_sortsupport","void","internal","public"
"geometry_spgist_choose_2d","void","internal, internal","public"
"geometry_spgist_choose_3d","void","internal, internal","public"
"geometry_spgist_choose_nd","void","internal, internal","public"
"geometry_spgist_compress_2d","internal","internal","public"
"geometry_spgist_compress_3d","internal","internal","public"
"geometry_spgist_compress_nd","internal","internal","public"
"geometry_spgist_config_2d","void","internal, internal","public"
"geometry_spgist_config_3d","void","internal, internal","public"
"geometry_spgist_config_nd","void","internal, internal","public"
"geometry_spgist_inner_consistent_2d","void","internal, internal","public"
"geometry_spgist_inner_consistent_3d","void","internal, internal","public"
"geometry_spgist_inner_consistent_nd","void","internal, internal","public"
"geometry_spgist_leaf_consistent_2d","boolean","internal, internal","public"
"geometry_spgist_leaf_consistent_3d","boolean","internal, internal","public"
"geometry_spgist_leaf_consistent_nd","boolean","internal, internal","public"
"geometry_spgist_picksplit_2d","void","internal, internal","public"
"geometry_spgist_picksplit_3d","void","internal, internal","public"
"geometry_spgist_picksplit_nd","void","internal, internal","public"
"geometry_typmod_in","integer","cstring[]","public"
"geometry_typmod_out","cstring","integer","public"
"geometry_within","boolean","geom1 geometry, geom2 geometry","public"
"geometry_within_nd","boolean","geometry, geometry","public"
"geometrytype","text","geography","public"
"geometrytype","text","geometry","public"
"geomfromewkb","geometry","bytea","public"
"geomfromewkt","geometry","text","public"
"get_job_stats","jsonb","","public"
"get_proj4_from_srid","text","integer","public"
"gidx_in","gidx","cstring","public"
"gidx_out","cstring","gidx","public"
"gin_extract_query_trgm","internal","text, internal, smallint, internal, internal, internal, internal","public"
