"proname","args","language"
"gtrgm_consistent","internal, text, smallint, oid, internal","c"
"gtrgm_decompress","internal","c"
"gtrgm_distance","internal, text, smallint, oid, internal","c"
"gtrgm_in","cstring","c"
"gtrgm_options","internal","c"
"gtrgm_out","gtrgm","c"
"gtrgm_penalty","internal, internal, internal","c"
"gtrgm_picksplit","internal, internal","c"
"gtrgm_same","gtrgm, gtrgm, internal","c"
"gtrgm_union","internal, internal","c"
"hmac","bytea, bytea, text","c"
"hmac","text, text, text","c"
"is_contained_2d","geometry, box2df","sql"
"is_contained_2d","box2df, box2df","c"
"is_contained_2d","box2df, geometry","c"
"jobs_search_update","","plpgsql"
"json","geometry","c"
"jsonb","geometry","c"
"login_user","p_email text, p_password text","plpgsql"
"nearby_jobs","lat double precision, lng double precision, radius_km double precision DEFAULT 50","plpgsql"
"overlaps_2d","box2df, box2df","c"
"overlaps_2d","box2df, geometry","c"
"overlaps_2d","geometry, box2df","sql"
"overlaps_geog","gidx, gidx","c"
"overlaps_geog","gidx, geography","c"
"overlaps_geog","geography, gidx","sql"
"overlaps_nd","gidx, gidx","c"
"overlaps_nd","geometry, gidx","sql"
"overlaps_nd","gidx, geometry","c"
"path","geometry","c"
"pgis_asflatgeobuf_finalfn","internal","c"
"pgis_asflatgeobuf_transfn","internal, anyelement, boolean, text","c"
"pgis_asflatgeobuf_transfn","internal, anyelement, boolean","c"
"pgis_asflatgeobuf_transfn","internal, anyelement","c"
"pgis_asgeobuf_finalfn","internal","c"
"pgis_asgeobuf_transfn","internal, anyelement","c"
"pgis_asgeobuf_transfn","internal, anyelement, text","c"
"pgis_asmvt_combinefn","internal, internal","c"
"pgis_asmvt_deserialfn","bytea, internal","c"
"pgis_asmvt_finalfn","internal","c"
"pgis_asmvt_serialfn","internal","c"
"pgis_asmvt_transfn","internal, anyelement, text, integer, text, text","c"
"pgis_asmvt_transfn","internal, anyelement, text, integer, text","c"
"pgis_asmvt_transfn","internal, anyelement, text, integer","c"
"pgis_asmvt_transfn","internal, anyelement, text","c"
"pgis_asmvt_transfn","internal, anyelement","c"
"pgis_geometry_accum_transfn","internal, geometry","c"
"pgis_geometry_accum_transfn","internal, geometry, double precision","c"
"pgis_geometry_accum_transfn","internal, geometry, double precision, integer","c"
"pgis_geometry_clusterintersecting_finalfn","internal","c"
"pgis_geometry_clusterwithin_finalfn","internal","c"
"pgis_geometry_collect_finalfn","internal","c"
"pgis_geometry_coverageunion_finalfn","internal","c"
"pgis_geometry_makeline_finalfn","internal","c"
"pgis_geometry_polygonize_finalfn","internal","c"
"pgis_geometry_union_parallel_combinefn","internal, internal","c"
"pgis_geometry_union_parallel_deserialfn","bytea, internal","c"
"pgis_geometry_union_parallel_finalfn","internal","c"
"pgis_geometry_union_parallel_serialfn","internal","c"
"pgis_geometry_union_parallel_transfn","internal, geometry","c"
"pgis_geometry_union_parallel_transfn","internal, geometry, double precision","c"
"pgp_armor_headers","text, OUT key text, OUT value text","c"
"pgp_key_id","bytea","c"
"pgp_pub_decrypt","bytea, bytea, text","c"
"pgp_pub_decrypt","bytea, bytea, text, text","c"
"pgp_pub_decrypt","bytea, bytea","c"
"pgp_pub_decrypt_bytea","bytea, bytea, text","c"
"pgp_pub_decrypt_bytea","bytea, bytea, text, text","c"
"pgp_pub_decrypt_bytea","bytea, bytea","c"
"pgp_pub_encrypt","text, bytea, text","c"
"pgp_pub_encrypt","text, bytea","c"
"pgp_pub_encrypt_bytea","bytea, bytea","c"
"pgp_pub_encrypt_bytea","bytea, bytea, text","c"
"pgp_sym_decrypt","bytea, text, text","c"
"pgp_sym_decrypt","bytea, text","c"
"pgp_sym_decrypt_bytea","bytea, text","c"
